Index,Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Operational_Cost,Customer_Age,is_outlier
0,2/1/2022,3686,3,Skirt,CZUZX,1.0,63.5,44.6,51,False
1,2/1/2022,3719,4,Skirt,549KK,1.0,55.9,41.1,27,False
2,2/1/2022,9200,5,Skirt,K8EHH,1.0,68.8,52.6,39,False
3,2/1/2022,1666,7,Shoes,AHZNS,1.0,82.1,56.7,39,False
4,2/1/2022,1253,8,Skirt,9STQJ,1.0,82.5,58.7,30,False
5,2/1/2022,7548,10,T-shirt,UNJKW,1.0,21.1,14.7,46,False
6,2/1/2022,6044,12,T-shirt,EMJ1S,1.0,36.2,24.9,43,False
7,2/1/2022,592,13,Cargo pants,B2IW9,1.0,90.0,65.6,25,False
8,2/1/2022,6450,14,T-shirt,4A2M0,1.0,70.2,47.8,44,False
9,2/1/2022,3874,15,Shoes,F79YP,1.0,169.1,117.0,41,False
10,2/1/2022,9223,17,Crop Top,EGB8E,1.0,105.0,87.8,50,False
11,2/1/2022,4921,18,Jeans,NEYQ4,1.0,37.5,24.2,30,False
12,2/1/2022,3624,22,Cargo pants,W22UD,1.0,58.7,39.6,53,False
13,2/1/2022,1253,23,Hoodie,YIM6C,1.0,86.5,56.7,30,False
14,2/1/2022,1253,23,T-shirt,EMJ1S,1.0,36.2,24.9,30,False
15,2/1/2022,1253,23,Hoodie,F90L2,1.0,23.1,16.9,30,False
16,2/1/2022,5058,24,Sunglasses,DPAB1,1.0,236.1,189.8,26,False
17,2/1/2022,4736,25,Blazer,RBNO8,1.0,100.2,70.1,53,False
18,2/1/2022,4736,25,Cargo pants,RVZ6I,1.0,66.9,47.2,53,False
19,2/1/2022,3071,26,T-shirt,UNJKW,2.0,42.3,14.7,26,False
20,2/1/2022,8303,29,Shoes,QWSWG,1.0,51.2,31.7,34,False
21,2/1/2022,4022,34,Skirt,CZUZX,1.0,63.5,44.6,45,False
22,2/1/2022,4022,34,Skirt,LQ555,1.0,75.7,55.9,45,False
23,2/1/2022,2438,35,Cargo pants,5Y2V7,1.0,45.7,30.4,36,False
24,2/1/2022,2438,35,Hoodie,F64H7,1.0,28.6,18.3,36,False
25,2/1/2022,4316,37,T-shirt,COWU2,1.0,44.3,29.8,33,False
26,2/1/2022,3883,40,Jeans,CERTN,1.0,64.0,40.4,58,False
27,2/1/2022,3883,40,T-shirt,ZDSYK,1.0,17.1,12.3,58,False
28,2/1/2022,3883,40,Hoodie,F64H7,1.0,28.6,18.3,58,False
29,2/1/2022,3883,41,T-shirt,I36F2,1.0,42.3,30.6,58,False
30,2/1/2022,6797,42,Hoodie,F90L2,1.0,23.1,16.9,38,False
31,2/1/2022,8521,43,Cargo pants,OV1P9,1.0,57.3,39.1,39,False
32,2/1/2022,2476,44,Jeans,4D1NN,1.0,66.2,42.4,23,False
33,2/1/2022,3785,46,Dress shirt,6DCYD,1.0,73.2,60.2,38,False
34,2/1/2022,3785,46,Bomber jacket,20XCP,1.0,158.3,102.3,38,False
35,2/1/2022,1098,47,Shoes,JJ9FT,1.0,57.9,38.8,31,False
36,2/1/2022,1098,47,Shoes,25CJ5,1.0,103.0,69.3,31,False
37,2/1/2022,6112,48,Hoodie,F64H7,1.0,28.6,18.3,29,False
38,2/1/2022,6112,48,Blazer,RH5J5,1.0,42.3,26.1,29,False
39,2/1/2022,708,50,Skirt,K8EHH,1.0,68.8,52.6,53,False
40,2/1/2022,8473,52,T-shirt,COWU2,1.0,44.3,29.8,59,False
41,2/1/2022,4720,54,Cargo pants,OV1P9,1.0,57.3,39.1,26,False
42,2/1/2022,4720,54,Skirt,MQPSJ,1.0,41.9,31.9,26,False
43,2/1/2022,4414,55,Shoes,SANGZ,1.0,93.8,63.2,57,False
