Index,Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Operational_Cost,Customer_Age
0,2/1/2022,3686,3,Skirt,CZUZX,1,63.5,44.6,51
1,2/1/2022,3719,4,Skirt,549KK,1,55.9,41.1,27
2,2/1/2022,9200,5,Skirt,K8EHH,1,68.8,52.6,39
3,2/1/2022,1666,7,Shoes,AHZNS,1,82.1,56.7,39
4,2/1/2022,1253,8,Skirt,9STQJ,1,82.5,58.7,30
5,2/1/2022,7548,10,T-shirt,UNJKW,1,21.1,14.7,46
6,2/1/2022,6044,12,T-shirt,EMJ1S,1,36.2,24.9,43
7,2/1/2022,592,13,Cargo pants,B2IW9,1,90,65.6,25
8,2/1/2022,6450,14,T-shirt,4A2M0,1,70.2,47.8,44
9,2/1/2022,3874,15,Shoes,F79YP,1,169.1,117,41
10,2/1/2022,9223,17,Crop Top,EGB8E,1,105,87.8,50
11,2/1/2022,4921,18,Jeans,NEYQ4,1,37.5,24.2,30
12,2/1/2022,3624,22,Cargo pants,W22UD,1,58.7,39.6,53
13,2/1/2022,1253,23,Hoodie,YIM6C,1,86.5,56.7,30
14,2/1/2022,1253,23,T-shirt,EMJ1S,1,36.2,24.9,30
15,2/1/2022,1253,23,Hoodie,F90L2,1,23.1,16.9,30
16,2/1/2022,5058,24,Sunglasses,DPAB1,1,236.1,189.8,26
17,2/1/2022,4736,25,Blazer,RBNO8,1,100.2,70.1,53
18,2/1/2022,4736,25,Cargo pants,RVZ6I,1,66.9,47.2,53
19,2/1/2022,3071,26,T-shirt,UNJKW,2,42.3,14.7,26
20,2/1/2022,8303,29,Shoes,QWSWG,1,51.2,31.7,34
21,2/1/2022,4022,34,Skirt,CZUZX,1,63.5,44.6,45
22,2/1/2022,4022,34,Skirt,LQ555,1,75.7,55.9,45
23,2/1/2022,2438,35,Cargo pants,5Y2V7,1,45.7,30.4,36
24,2/1/2022,2438,35,Hoodie,F64H7,1,28.6,18.3,36
25,2/1/2022,4316,37,T-shirt,COWU2,1,44.3,29.8,33
26,2/1/2022,3883,40,Jeans,CERTN,1,64,40.4,58
27,2/1/2022,3883,40,T-shirt,ZDSYK,1,17.1,12.3,58
28,2/1/2022,3883,40,Hoodie,F64H7,1,28.6,18.3,58
29,2/1/2022,3883,41,T-shirt,I36F2,1,42.3,30.6,58
30,2/1/2022,6797,42,Hoodie,F90L2,1,23.1,16.9,38
31,2/1/2022,8521,43,Cargo pants,OV1P9,1,57.3,39.1,39
32,2/1/2022,2476,44,Jeans,4D1NN,1,66.2,42.4,23
33,2/1/2022,3785,46,Dress shirt,6DCYD,1,73.2,60.2,38
34,2/1/2022,3785,46,Bomber jacket,20XCP,1,158.3,102.3,38
35,2/1/2022,1098,47,Shoes,JJ9FT,1,57.9,38.8,31
36,2/1/2022,1098,47,Shoes,25CJ5,1,103,69.3,31
37,2/1/2022,6112,48,Hoodie,F64H7,1,28.6,18.3,29
38,2/1/2022,6112,48,Blazer,RH5J5,1,42.3,26.1,29
39,2/1/2022,708,50,Skirt,K8EHH,1,68.8,52.6,53
40,2/1/2022,8473,52,T-shirt,COWU2,1,44.3,29.8,59
41,2/1/2022,4720,54,Cargo pants,OV1P9,1,57.3,39.1,26
42,2/1/2022,4720,54,Skirt,MQPSJ,1,41.9,31.9,26
43,2/1/2022,4414,55,Shoes,SANGZ,1,93.8,63.2,57
44,2/1/2022,2125,56,Cargo pants,IPVE6,1,45,28.2,28
45,2/1/2022,2562,57,Skirt,549KK,1,55.9,41.1,65
46,2/1/2022,473,58,Trench coat,AODV3,2,87.3,23.7,42
47,2/1/2022,9113,59,T-shirt,0AEJH,1,18.9,13,32
48,2/1/2022,3708,61,Shoes,A4R06,1,105.7,66.1,33
49,2/1/2022,3992,64,T-shirt,14V9T,1,34.1,21.7,49
50,2/1/2022,3992,64,T-shirt,COWU2,1,44.3,29.8,49
51,2/1/2022,7488,65,T-shirt,ZRKHN,1,42.3,28.8,45
52,2/1/2022,7488,65,T-shirt,UNJKW,1,21.1,14.7,45
53,2/1/2022,4604,66,Jeans,FV49E,1,70.2,46.4,42
54,2/1/2022,4604,66,Skirt,1XG54,1,67.5,47.2,42
55,2/1/2022,9108,67,Skirt,9STQJ,1,82.5,58.7,58
56,2/1/2022,4783,68,Jeans,K38PQ,1,96.2,56.9,56
57,2/1/2022,4783,68,Jeans,NJRVO,1,81.8,47.5,56
58,2/1/2022,5373,70,Trench coat,RNDL2,1,37,23.1,44
59,2/1/2022,1765,71,Jeans,J2RPB,1,34.1,20.1,30
60,2/1/2022,4122,76,Blazer,LPLTZ,1,39,24.3,36
61,2/1/2022,4122,76,T-shirt,TL4WZ,1,40,27.2,36
62,2/1/2022,4122,76,Sunglasses,MM77N,2,53.7,22.6,36
63,2/1/2022,4122,76,Dress shirt,NOKHJ,2,222.6,86.9,36
64,2/1/2022,4122,76,Dresses,9F8O1,2,123.6,43,36
65,2/1/2022,4122,76,Hat,NZQS5,2,122.7,51.5,36
66,2/1/2022,4122,76,Dresses,GYQNP,2,144,55.4,36
67,2/1/2022,981,77,T-shirt,H87RV,1,60,37.2,21
68,2/1/2022,9628,78,Jeans,E3PAN,1,83.2,51.7,29
69,2/1/2022,8048,79,Skirt,549KK,1,55.9,41.1,34
70,2/1/2022,8048,79,T-shirt,TU0A5,1,35.4,23,34
71,2/1/2022,6891,81,Hoodie,280WP,1,196.3,135.6,47
72,2/1/2022,3588,83,Skirt,RUNZF,2,157.5,54,25
73,2/1/2022,178,84,Hoodie,HO1M5,1,249.3,169.3,57
74,2/1/2022,178,84,Crop Top,699MN,1,340.6,271.8,57
75,2/1/2022,5721,85,Cargo pants,OV1P9,1,57.3,39.1,29
76,2/1/2022,1725,86,Hoodie,XQBTK,1,15.3,10.2,53
77,2/1/2022,8541,87,T-shirt,YY5BX,1,45.7,30.4,57
78,2/1/2022,6994,88,Crop Top,11H2S,1,190,146.9,39
79,2/1/2022,3,90,Dresses,Y1M2E,2,81.6,31.3,52
80,2/1/2022,427,91,Hoodie,DLFQW,1,41.9,27.5,25
81,2/1/2022,427,91,Hoodie,F90L2,1,23.1,16.9,25
82,2/1/2022,427,91,Crop Top,LKDTY,1,86.9,72.7,25
83,2/1/2022,3235,92,Hoodie,DUWYY,1,41.9,27.9,24
84,2/1/2022,957,94,Skirt,MQPSJ,1,41.9,31.9,52
85,2/1/2022,7408,95,Crop Top,7BGJ9,1,175,136.3,28
86,2/1/2022,6523,96,T-shirt,UQC6F,1,17.7,11.6,60
87,2/1/2022,6523,96,T-shirt,UNJKW,1,21.1,14.7,60
88,2/1/2022,4803,97,Cargo pants,IPVE6,1,45,28.2,43
89,2/1/2022,4803,97,Blazer,PO1N6,1,74.4,45.6,43
90,2/1/2022,2826,98,Skirt,ABFD7,1,48.4,37.8,44
91,2/1/2022,2826,98,Skirt,O1X0L,1,60.7,45.2,44
92,2/1/2022,3131,100,Crop Top,MRE4J,1,33.4,28.1,56
93,2/1/2022,5948,102,Crop Top,967JZ,1,105.6,90,41
94,2/1/2022,2826,103,Skirt,O1X0L,1,60.7,45.2,44
95,2/1/2022,6848,104,Shoes,81AIS,1,82.5,57.8,32
96,2/1/2022,6848,104,T-shirt,ZDSYK,1,17.1,12.3,32
